Constellation,PKI,Variant,Dropped (%),Latency Min (s),Latency Max (s),Latency Mean (s),Latency Std (s),Establishment Overhead Max (s),Establishment Overhead Mean (s),Establishment Overhead Std (s),Total Hops Min,Total Hops Max,Total Hops Mean,Total Hops Std
CubeSat,OCSP,--,32.9702818627451,130.00813659053756,599.0092123542463,162.71023885297603,79.34446158128615,591.998754879963,101.2783891493754,83.88900823916494,2,79,29.443129099344105,14.722230624712804
CubeSat,OCSP,Stapling,25.85018382352941,130.00813659053756,599.0092123542463,207.40926218678328,131.1815424154348,592.0067620796565,152.9867790836424,76.07774968450373,2,79,29.417002375787625,14.248043058407434
CubeSat,OCSP,Validator,23.739276960784313,130.00813659053756,599.0092123542463,193.6439550813986,120.54917653974131,296.92282044133697,28.4688108870566,51.396549528384725,2,81,32.01201213265573,13.628980978379584
CubeSat,CRL,--,34.119178921568626,130.00813659053756,599.0092123542463,163.2240352411821,83.31521485425252,591.998754879963,98.75355332189928,85.31697674068356,2,79,29.69109679819564,15.16054561829044
CubeSat,CRL,Broadcast,18.299632352941174,0.0026373631424121413,599.1031364089617,122.71469708682181,164.1560924784406,0.0,0.0,0.0,2,37,10.143660704241197,7.081196914364961
Iridium,OCSP,--,0.0,0.009541859870068947,0.2587949271837715,0.14158800043815237,0.04329479922572055,0.17015193108386484,0.10007998507543726,0.036129744846586376,2,28,15.933609068627451,3.999724752136584
Iridium,OCSP,Stapling,0.0,0.009541859870068947,0.2587990607668189,0.14160974443775964,0.04330543569540973,0.1701489150910902,0.10008803722255068,0.036128060932287084,2,28,15.977987132352942,3.9531047663717045
Iridium,OCSP,Validator,0.0,0.009541859870068947,0.16608285047539084,0.10048212479715184,0.02515761669399669,0.08100783624047381,0.04000228151009641,0.014868468203854937,2,27,16.24436274509804,3.6466838443383773
Iridium,CRL,--,0.0,0.009541859870068947,0.18240655678994244,0.109357381381984,0.034599236423580794,0.1701486322922392,0.0678493660192689,0.03595948074924415,2,28,15.976133578431373,3.955215089838637
Iridium,CRL,Broadcast,0.0,0.005670101258147042,0.08864550610383048,0.0415080153627151,0.019007828167504414,0.0,0.0,0.0,2,11,5.132383578431373,1.9339257083936363
Starlink,OCSP,--,26.200980392156865,0.004351157676524053,81.99342841150428,0.4757794631562465,3.074971857826699,0.18743220334386024,0.08542762242319567,0.034156445051184,2,179,54.936856526071075,30.456711065662674
Starlink,OCSP,Stapling,26.200980392156865,0.004351157676524053,81.9037468254412,0.4749912555568369,3.0699651086814073,31.505660014682462,0.26068728999981217,2.1563218823174726,2,179,55.231754400531386,30.497723280868236
Starlink,OCSP,Validator,26.200980392156865,0.004351157676524053,81.9037468254412,0.44022998172397015,3.071154309620314,31.452830855877664,0.03434991237525553,0.15341918399770163,2,176,57.39691962803055,30.27846479367837
Starlink,CRL,--,26.200980392156865,0.004351157676524053,81.9037468254412,0.4465197737817844,3.0732906775942284,0.14848623159468843,0.05616793304873352,0.034263276180297106,2,179,55.12489621388243,30.49544446041432
Starlink,CRL,Broadcast,26.868872549019606,0.0037520659013807744,81.9037468254412,0.2143843530847497,2.2004686295030993,0.0,0.0,0.0,2,67,17.00048177628823,12.357116075565665
