PKI,Variant,Distributed,Subscribe,Cache,Attack Origin,Revocation Origin,delivered_ratio,latency_dropped_min,latency_dropped_max,latency_dropped_mean,latency_dropped_std,latency_accepted_min,latency_accepted_max,latency_accepted_mean,latency_accepted_std
OCSP,--,,,,Ground,Ground,0.0,0.0668278829763266,1.1703109158412417,0.1475416391074202,0.072029354078859,,,,
OCSP,--,,,,Space,Ground,0.0,0.0719546626814917,0.1979066928379325,0.154561265734868,0.0229802456771309,,,,
OCSP,--,,,\cmark,Ground,Ground,0.0,0.0668278829763266,1.1703109158412417,0.1475416391074202,0.072029354078859,,,,
OCSP,--,,,\cmark,Space,Ground,0.0,0.0719546626814917,0.1979066928379325,0.154561265734868,0.0229802456771309,,,,
OCSP,--,,\cmark,,Ground,Ground,0.0,0.0668278829763266,1.1703109158412417,0.1475416391074202,0.072029354078859,,,,
OCSP,--,,\cmark,,Space,Ground,0.0,0.0719546626814917,0.1979066928379325,0.154561265734868,0.0229802456771309,,,,
OCSP,--,,\cmark,\cmark,Ground,Ground,0.0,0.0668278829763266,1.1703109158412417,0.1475416391074202,0.072029354078859,,,,
OCSP,--,,\cmark,\cmark,Space,Ground,0.0,0.0719546626814917,0.1979066928379325,0.154561265734868,0.0229802456771309,,,,
OCSP,--,\cmark,,,Ground,Ground,0.0,0.0668278829763266,1.1703109158412417,0.1475416391074202,0.072029354078859,,,,
OCSP,--,\cmark,,,Ground,Space,0.0,0.0668278829763266,1.1703109158412417,0.1475416391074202,0.072029354078859,,,,
OCSP,--,\cmark,,,Space,Ground,0.0,0.0719546626814917,0.1979066928379325,0.154561265734868,0.0229802456771309,,,,
OCSP,--,\cmark,,,Space,Space,0.0,0.0719546626814917,0.1979066928379325,0.154561265734868,0.0229802456771309,,,,
OCSP,--,\cmark,,\cmark,Ground,Ground,0.0,0.0668278829763266,1.1703109158412417,0.1475416391074202,0.072029354078859,,,,
OCSP,--,\cmark,,\cmark,Ground,Space,0.0,0.0668278829763266,1.1703109158412417,0.1475416391074202,0.072029354078859,,,,
OCSP,--,\cmark,,\cmark,Space,Ground,0.0,0.0719546626814917,0.1979066928379325,0.154561265734868,0.0229802456771309,,,,
OCSP,--,\cmark,,\cmark,Space,Space,0.0,0.0719546626814917,0.1979066928379325,0.154561265734868,0.0229802456771309,,,,
OCSP,--,\cmark,\cmark,,Ground,Ground,0.0,0.0668278829763266,1.1703109158412417,0.1475416391074202,0.072029354078859,,,,
OCSP,--,\cmark,\cmark,,Ground,Space,0.0,0.0668278829763266,1.1703109158412417,0.1475416391074202,0.072029354078859,,,,
OCSP,--,\cmark,\cmark,,Space,Ground,0.0,0.0719546626814917,0.1979066928379325,0.154561265734868,0.0229802456771309,,,,
OCSP,--,\cmark,\cmark,,Space,Space,0.0,0.0719546626814917,0.1979066928379325,0.154561265734868,0.0229802456771309,,,,
OCSP,--,\cmark,\cmark,\cmark,Ground,Ground,0.0,0.0668278829763266,1.1703109158412417,0.1475416391074202,0.072029354078859,,,,
OCSP,--,\cmark,\cmark,\cmark,Ground,Space,0.0,0.0668278829763266,1.1703109158412417,0.1475416391074202,0.072029354078859,,,,
OCSP,--,\cmark,\cmark,\cmark,Space,Ground,0.0,0.0719546626814917,0.1979066928379325,0.154561265734868,0.0229802456771309,,,,
OCSP,--,\cmark,\cmark,\cmark,Space,Space,0.0,0.0719546626814917,0.1979066928379325,0.154561265734868,0.0229802456771309,,,,
OCSP,Stapling,,,,Ground,Ground,0.0,0.0668278829763266,0.0668278829763266,0.0668278829763266,0.0,,,,
OCSP,Stapling,,,,Space,Ground,0.0,0.0719546626814917,0.0719546626814917,0.0719546626814917,0.0,,,,
OCSP,Stapling,,,\cmark,Ground,Ground,0.0,0.0668278829763266,0.0668278829763266,0.0668278829763266,0.0,,,,
OCSP,Stapling,,,\cmark,Space,Ground,0.0,0.0719546626814917,0.0719546626814917,0.0719546626814917,0.0,,,,
OCSP,Stapling,\cmark,,,Ground,Ground,0.0,0.0668278829763266,0.0668278829763266,0.0668278829763266,0.0,,,,
OCSP,Stapling,\cmark,,,Ground,Space,0.0,0.0668278829763266,0.0668278829763266,0.0668278829763266,0.0,,,,
OCSP,Stapling,\cmark,,,Space,Ground,99.609375,0.0719546626814917,0.0719546626814917,0.0719546626814917,0.0,0.117067585546124,0.1875410456913187,0.1632688942537314,0.019246943912548
OCSP,Stapling,\cmark,,,Space,Space,0.0,0.0546261943800345,0.0719546626814917,0.0546938837093371,0.0010809119075414,,,,
